#uwb_timestamp  uwb_distance imu_timestamp imu_yaw
1616395215.675 0 1616395215.679256 -0.4160864935973334
1616395215.776 0 1616395215.774703 -0.4864232624395
1616395215.876 0 1616395215.883213 -0.4448844262498333
1616395215.976 0 1616395215.979178 -0.4153883618966667
1616395216.076 0 1616395216.075219 -0.3920009499243333
1616395216.176 0 1616395216.171218 -0.3548254368638333
1616395216.276 0 1616395216.283228 -0.3228859115583333
1616395216.376 0 1616395216.37965 -0.2885029253005
1616395216.476 0 1616395216.475685 -0.2535963402671667
1616395216.576 0 1616395216.570164 -0.2162462942815
1616395216.676 0 1616395216.682617 -0.1534144412215
1616395216.776 0 1616395216.778538 -0.1206022512901667
1616395216.876 0 1616395216.874485 -0.07679448707333333
1616395216.976 17.08 1616395216.983156 -0.08203047482833332
1616395217.174 0 1616395217.170168 -0.04939281782216667
1616395217.276 0 1616395217.282535 -0.02234021442133333
1616395217.376 0 1616395217.376962 -0.01692969374116667
1616395217.476 0 1616395217.472219 -0.1230457122425
1616395217.576 17.25 1616395217.582411 -0.2029817919688333
1616395217.781 17.25 1616395217.781689 -0.3775147171355
1616395217.886 17.21 1616395217.890112 -0.4687954369976667
1616395217.984 17.24 1616395217.977223 -0.5433209960438333
1616395218.084 17.29 1616395218.086398 -0.537212343663
1616395218.186 17.27 1616395218.182132 -0.4984660342760001
1616395218.284 0 1616395218.277237 -0.4384267080186667
1616395218.376 0 1616395218.373152 -0.3862413633938333
1616395218.476 0 1616395218.469072 -0.3293436297895
1616395218.576 17.29 1616395218.580187 -0.3106686067966666
1616395218.686 17.34 1616395218.691196 -0.2616248548248333
1616395218.784 17.35 1616395218.783794 -0.2504547476141667
1616395218.884 17.33 1616395218.88881 -0.2145009650298333
1616395218.982 0 1616395218.981037 -0.1467821900651667
1616395219.076 0 1616395219.071767 -0.09128071986216667
1616395219.877 17.58 1616395219.869897 0.1303760950995
1616395219.986 17.63 1616395219.979141 -0.029321531428
1616395220.172 17.54 1616395220.165214 -0.26179938775
1616395220.286 17.49 1616395220.285787 -0.3218387140073333
1616395220.387 17.53 1616395220.39156 -0.3462733235306666
1616395220.487 17.62 1616395220.481657 -0.3520329100611667
1616395220.587 17.61 1616395220.590163 -0.298451302035
1616395220.687 17.57 1616395220.685221 -0.2323033233968333
1616395220.785 17.52 1616395220.780929 -0.2120575040775
1616395220.977 17.62 1616395220.980535 -0.215722695506
1616395221.085 0 1616395221.085517 -0.2151990967305
1616395221.179 0 1616395221.175488 -0.2151990967305
1616395221.279 0 1616395221.280558 -0.2151990967305
1616395221.379 17.6 1616395221.385689 -0.2151990967305
1616395221.487 17.62 1616395221.490589 -0.2151990967305
1616395221.677 17.56 1616395221.670592 -0.2151990967305
1616395221.785 17.55 1616395221.790621 -0.2151990967305
1616395221.977 17.62 1616395221.970565 -0.2151990967305
1616395222.177 0 1616395222.180708 -0.2151990967305
1616395222.378 0 1616395222.375558 -0.2150245638053333
1616395222.479 0 1616395222.480573 -0.2150245638053333
1616395222.672 0 1616395222.6756 -0.2150245638053333
1616395222.779 0 1616395222.780637 -0.2150245638053333
1616395222.879 0 1616395222.885441 -0.2150245638053333
1616395222.979 0 1616395222.9755 -0.2150245638053333
1616395223.079 0 1616395223.080437 -0.2148500308801667
1616395223.272 0 1616395223.275841 -0.2195624198596667
1616395223.379 17.44 1616395223.384099 -0.2432988976823333
1616395223.487 17.54 1616395223.49268 -0.298451302035
1616395223.587 17.47 1616395223.583664 -0.3588396941426666
1616395223.685 17.45 1616395223.689532 -0.4050909193118333
1616395223.787 17.47 1616395223.779457 -0.4459316238008333
1616395223.887 17.43 1616395223.884791 -0.4749040893785
1616395224.085 17.43 1616395224.080861 -0.4642575809433334
1616395224.189 17.29 1616395224.193278 -0.4352851153656667
1616395224.287 17.24 1616395224.286836 -0.4468042884266667
1616395224.387 17.25 1616395224.380807 -0.4787438137321666
1616395224.485 17.15 1616395224.488093 -0.4600687907393334
1616395224.677 17.29 1616395224.679021 -0.4124213021688333
1616395224.789 17.27 1616395224.786998 -0.3396410723743333
1616395224.887 17.43 1616395224.882697 -0.3049090202661667
1616395224.985 0 1616395224.992924 -0.2715732315593333
1616395225.079 17.39 1616395225.073093 -0.2467895561856666
1616395225.185 17.4 1616395225.184814 -0.19896753469
1616395225.285 17.37 1616395225.279525 -0.1544616387725
1616395225.385 17.44 1616395225.389535 -0.1157153293855
1616395225.975 0 1616395225.975531 0.09494591129066668
1616395227.881 0 1616395227.883078 0.09389871373966667
1616395228.184 17.98 1616395228.18289 0.06527531401233333
1616395228.387 0 1616395228.392853 0.05061454829833333
1616395228.587 0 1616395228.588428 0.04049163863866667
1616395228.694 17.92 1616395228.692765 0.03473205210816667
1616395228.806 0 1616395228.805763 0.02426007659816667
1616395228.894 0 1616395228.8877 0.01396263401333333
1616395228.994 0 1616395228.993044 0.002094395102
1616395229.094 0 1616395229.09791 -0.01483529863916667
1616395229.194 0 1616395229.188043 -0.037699111836
1616395229.294 0 1616395229.29312 -0.07103490054283333
1616395229.394 0 1616395229.397957 -0.08412486993033334
